removeOneFail,80
removeTwoFail,91
removeThreeFail,4166
removeThreeNoCallsRemoveOneFail,3177
removeOneWithCondFail,217
callBetTwiceFail,2074
callPlaceBetOnceInsufficientContractFail,10769
callDummyProc1And2And3CATFail,10910
simpleSchemTraceInclusionFail,328
callDummyProc1WithAssumptionsButAssumeNothingFail,370
callPlaceBetOnlyOncePreCondNotMetFail,335
casinoCaseStudySimpleFail,989
casinoCaseStudySimpleCompletePlaceBetFail,377
removeOne,77
removeOneWithCond,220
removeOneLT,88
removeTwo,77
removeThree,3285
placeBetAbsTrSelf,56
placeBetInnerSimple,56
trivialMultipleObsCallee,279
callPlaceBetOnceSufficientContract,2337
callPlaceBetDecidedBet,4828
simpleSchemTraceInclusion,257
callDummyProc1AssumeNoDummyProc1Before,267
callDummyProc2And1SafeLocalContextOr,5247
callPlaceBetOnlyOnceAssumePreTrace,266
callPlaceBetOnceSetVarsToOne,298
casinoCaseStudySimple,851
casinoCaseStudySimpleCompletePlaceBet,1312
noObservationsTrivialPrecondition,46
