removeOneFail,68
removeTwoFail,85
removeThreeFail,2487
removeThreeNoCallsRemoveOneFail,1033
removeOneWithCondFail,120
callBetTwiceFail,291
callPlaceBetOnceInsufficientContractFail,440
callDummyProc1And2And3CATFail,264
simpleSchemTraceInclusionFail,91
callDummyProc1WithAssumptionsButAssumeNothingFail,99
callPlaceBetOnlyOncePreCondNotMetFail,104
removeOne,64
removeOneWithCond,125
removeOneLT,77
removeTwo,64
removeThree,1655
placeBetAbsTrSelf,62
placeBetInnerSimple,66
trivialMultipleObsCallee,73
callPlaceBetOnceSufficientContract,168
callPlaceBetDecidedBet,135
simpleSchemTraceInclusion,80
callDummyProc1AssumeNoDummyProc1Before,83
callDummyProc2And1SafeLocalContextOr,127
callPlaceBetOnlyOnceAssumePreTrace,112
callPlaceBetOnceSetVarsToOne,99
