removeOneFail,67
removeTwoFail,79
removeThreeFail,2536
removeThreeNoCallsRemoveOneFail,925
removeOneWithCondFail,120
callBetTwiceFail,305
callPlaceBetOnceInsufficientContractFail,419
callDummyProc1And2And3CATFail,301
simpleSchemTraceInclusionFail,90
callDummyProc1WithAssumptionsButAssumeNothingFail,97
callPlaceBetOnlyOncePreCondNotMetFail,102
removeOne,63
removeOneWithCond,125
removeOneLT,77
removeTwo,63
removeThree,1612
placeBetAbsTrSelf,61
placeBetInnerSimple,61
trivialMultipleObsCallee,73
callPlaceBetOnceSufficientContract,157
callPlaceBetDecidedBet,148
simpleSchemTraceInclusion,73
callDummyProc1AssumeNoDummyProc1Before,85
callDummyProc2And1SafeLocalContextOr,143
callPlaceBetOnlyOnceAssumePreTrace,111
callPlaceBetOnceSetVarsToOne,104
