removeOneFail,66
removeTwoFail,83
removeThreeFail,2454
removeThreeNoCallsRemoveOneFail,994
removeOneWithCondFail,117
callBetTwiceFail,289
callPlaceBetOnceInsufficientContractFail,433
callDummyProc1And2And3CATFail,336
simpleSchemTraceInclusionFail,87
callDummyProc1WithAssumptionsButAssumeNothingFail,93
removeOne,62
removeOneWithCond,125
removeOneLT,81
removeTwo,62
removeThree,1622
placeBetAbsTrSelf,54
placeBet,90
placeBetInner,68
placeBetInnerSimple,67
trivialMultipleObsCallee,72
callPlaceBetOnceSufficientContract,155
callPlaceBetDecidedBet,134
simpleSchemTraceInclusion,74
callDummyProc1AssumeNoDummyProc1Before,80
callDummyProc2And1SafeLocalContextOr,135
