removeOneFail,67
removeTwoFail,79
removeThreeFail,2489
removeThreeNoCallsRemoveOneFail,1026
removeOneWithCondFail,120
callBetTwiceFail,271
callPlaceBetOnceInsufficientContractFail,413
callDummyProc1And2And3CATFail,264
simpleSchemTraceInclusionFail,91
callDummyProc1WithAssumptionsButAssumeNothingFail,107
callPlaceBetOnlyOncePreCondNotMetFail,91
removeOne,63
removeOneWithCond,125
removeOneLT,77
removeTwo,63
removeThree,1634
placeBetAbsTrSelf,52
placeBetInnerSimple,62
trivialMultipleObsCallee,73
callPlaceBetOnceSufficientContract,168
callPlaceBetDecidedBet,139
simpleSchemTraceInclusion,78
callDummyProc1AssumeNoDummyProc1Before,83
callDummyProc2And1SafeLocalContextOr,139
callPlaceBetOnlyOnceAssumePreTrace,112
callPlaceBetOnceSetVarsToOne,100
