removeOneFail,68
removeTwoFail,85
removeThreeFail,2458
removeThreeNoCallsRemoveOneFail,987
removeOneWithCondFail,181
callBetTwiceFail,273
callPlaceBetOnceInsufficientContractFail,446
callDummyProc1And2And3CATFail,295
simpleSchemTraceInclusionFail,92
callDummyProc1WithAssumptionsButAssumeNothingFail,97
callPlaceBetOnlyOncePreCondNotMetFail,92
removeOne,64
removeOneWithCond,189
removeOneLT,77
removeTwo,64
removeThree,1596
placeBetAbsTrSelf,62
placeBetInnerSimple,66
trivialMultipleObsCallee,74
callPlaceBetOnceSufficientContract,143
callPlaceBetDecidedBet,153
simpleSchemTraceInclusion,79
callDummyProc1AssumeNoDummyProc1Before,84
callDummyProc2And1SafeLocalContextOr,142
callPlaceBetOnlyOnceAssumePreTrace,111
callPlaceBetOnceSetVarsToOne,19
