removeOneFail,80
removeTwoFail,92
removeThreeFail,4164
removeThreeNoCallsRemoveOneFail,3171
removeOneWithCondFail,204
callBetTwiceFail,2075
callPlaceBetOnceInsufficientContractFail,10769
callDummyProc1And2And3CATFail,10910
simpleSchemTraceInclusionFail,330
callDummyProc1WithAssumptionsButAssumeNothingFail,372
callPlaceBetOnlyOncePreCondNotMetFail,336
casinoCaseStudySimpleFail,989
casinoCaseStudySimpleCompletePlaceBetFail,375
removeOne,76
removeOneWithCond,206
removeOneLT,90
removeTwo,76
removeThree,3315
placeBetAbsTrSelf,58
placeBetInnerSimple,58
trivialMultipleObsCallee,279
callPlaceBetOnceSufficientContract,2339
callPlaceBetDecidedBet,4829
simpleSchemTraceInclusion,259
callDummyProc1AssumeNoDummyProc1Before,268
callDummyProc2And1SafeLocalContextOr,5249
callPlaceBetOnlyOnceAssumePreTrace,242
callPlaceBetOnceSetVarsToOne,297
casinoCaseStudySimple,851
casinoCaseStudySimpleCompletePlaceBet,1310
noObservationsTrivialPrecondition,-1000
