removeOneFail,68
removeTwoFail,80
removeThreeFail,2443
removeThreeNoCallsRemoveOneFail,1044
removeOneWithCondFail,121
callBetTwiceFail,278
callPlaceBetOnceInsufficientContractFail,450
callDummyProc1And2And3CATFail,341
simpleSchemTraceInclusionFail,91
callDummyProc1WithAssumptionsButAssumeNothingFail,97
callPlaceBetOnlyOncePreCondNotMetFail,102
removeOne,64
removeOneWithCond,125
removeOneLT,83
removeTwo,64
removeThree,1627
placeBetAbsTrSelf,61
placeBetInnerSimple,62
trivialMultipleObsCallee,73
callPlaceBetOnceSufficientContract,158
callPlaceBetDecidedBet,117
simpleSchemTraceInclusion,81
callDummyProc1AssumeNoDummyProc1Before,77
callDummyProc2And1SafeLocalContextOr,143
callPlaceBetOnlyOnceAssumePreTrace,114
callPlaceBetOnceSetVarsToOne,102
