removeOneFail,75
removeTwoFail,86
removeThreeFail,1840
removeThreeNoCallsRemoveOneFail,10340
removeOneWithCondFail,160
callBetTwiceFail,1821
callPlaceBetOnceInsufficientContractFail,10757
callDummyProc1And2And3CATFail,4604
simpleSchemTraceInclusionFail,311
callDummyProc1WithAssumptionsButAssumeNothingFail,355
callPlaceBetOnceAfterRemoveOneUnderspecifiedFail,8695
callPlaceBetOnlyOncePreCondNotMetFail,317
casinoCaseStudySimpleFail,986
casinoCaseStudySimpleCompletePlaceBetFail,377
removeOne,72
removeOneWithCond,166
removeOneLT,83
removeTwo,72
removeThree,1460
placeBetAbsTrSelf,54
placeBetInnerSimple,54
trivialMultipleObsCallee,261
callPlaceBetOnceAfterRemoveOne,809
callPlaceBetDecidedBet,1015
simpleSchemTraceInclusion,243
callDummyProc1AssumeNoDummyProc1Before,247
callDummyProc2And1SafeLocalContextOr,1295
callPlaceBetOnlyOnceAssumePreTrace,252
callPlaceBetOnceSetVarsToOne,293
casinoCaseStudySimple,731
casinoCaseStudySimpleCompletePlaceBet,1006
noObservationsTrivialPrecondition,46
