removeOneFail,80
removeTwoFail,91
removeThreeFail,4136
removeThreeNoCallsRemoveOneFail,2650
removeOneWithCondFail,225
callBetTwiceFail,2074
callPlaceBetOnceInsufficientContractFail,10127
callDummyProc1And2And3CATFail,10765
simpleSchemTraceInclusionFail,329
callDummyProc1WithAssumptionsButAssumeNothingFail,361
callPlaceBetOnlyOncePreCondNotMetFail,334
casinoCaseStudySimpleFail,915
casinoCaseStudySimpleCompletePlaceBetFail,368
removeOne,77
removeOneWithCond,231
removeOneLT,88
removeTwo,77
removeThree,3124
placeBetAbsTrSelf,56
