removeOneFail,85
removeTwoFail,97
removeThreeFail,1468
removeThreeNoCallsRemoveOneFail,2119
removeOneWithCondFail,210
callBetTwiceFail,1703
callPlaceBetOnceInsufficientContractFail,1464
callDummyProc1And2And3CATFail,10218
simpleSchemTraceInclusionFail,277
callDummyProc1WithAssumptionsButAssumeNothingFail,288
callPlaceBetOnlyOncePreCondNotMetFail,265
casinoCaseStudySimpleFail,1537
removeOne,81
removeOneWithCond,212
removeOneLT,95
removeTwo,81
removeThree,1054
placeBetAbsTrSelf,64
placeBetInnerSimple,64
trivialMultipleObsCallee,126
callPlaceBetOnceSufficientContract,828
callPlaceBetDecidedBet,792
simpleSchemTraceInclusion,116
callDummyProc1AssumeNoDummyProc1Before,118
callDummyProc2And1SafeLocalContextOr,793
callPlaceBetOnlyOnceAssumePreTrace,138
callPlaceBetOnceSetVarsToOne,328
casinoCaseStudySimple,1284
