removeOneFail,67
removeTwoFail,79
removeThreeFail,10204
removeThreeNoCallsRemoveOneFail,1997
removeOneWithCondFail,120
callBetTwiceFail,10262
callPlaceBetOnceInsufficientContractFail,2153
callDummyProc1And2And3CATFail,10716
simpleSchemTraceInclusionFail,122
callDummyProc1WithAssumptionsButAssumeNothingFail,125
callPlaceBetOnlyOncePreCondNotMetFail,138
casinoCaseStudySimpleFail,4061
removeOne,63
removeOneWithCond,125
removeOneLT,77
removeTwo,63
removeThree,-1000
placeBetAbsTrSelf,64
placeBetInnerSimple,64
trivialMultipleObsCallee,111
callPlaceBetOnceSufficientContract,-1000
callPlaceBetDecidedBet,-1000
simpleSchemTraceInclusion,-1000
callDummyProc1AssumeNoDummyProc1Before,-1000
callDummyProc2And1SafeLocalContextOr,-1000
callPlaceBetOnlyOnceAssumePreTrace,122
callPlaceBetOnceSetVarsToOne,121
casinoCaseStudySimple,-1000
