removeOneFail,77
removeTwoFail,89
removeThreeFail,1151
removeThreeNoCallsRemoveOneFail,1768
removeOneWithCondFail,202
callBetTwiceFail,1824
callPlaceBetOnceInsufficientContractFail,1009
callDummyProc1And2And3CATFail,3263
simpleSchemTraceInclusionFail,207
callDummyProc1WithAssumptionsButAssumeNothingFail,219
callPlaceBetOnlyOncePreCondNotMetFail,209
casinoCaseStudySimpleFail,1627
casinoCaseStudySimpleCompletePlaceBetFail,301
removeOne,73
removeOneWithCond,206
removeOneLT,87
removeTwo,73
removeThree,993
placeBetAbsTrSelf,57
placeBetInnerSimple,57
trivialMultipleObsCallee,104
callPlaceBetOnceSufficientContract,541
callPlaceBetDecidedBet,535
simpleSchemTraceInclusion,94
callDummyProc1AssumeNoDummyProc1Before,97
callDummyProc2And1SafeLocalContextOr,534
callPlaceBetOnlyOnceAssumePreTrace,127
callPlaceBetOnceSetVarsToOne,243
casinoCaseStudySimple,1240
casinoCaseStudySimpleCompletePlaceBet,-1000
noObservationsTrivialPrecondition,49
