removeOneFail,115
removeTwoFail,124
removeThreeFail,3248
removeThreeNoCallsRemoveOneFail,10665
removeOneWithCondFail,294
callBetTwiceFail,504
callPlaceBetOnceInsufficientContractFail,2306
callDummyProc1And2And3CATFail,2163
simpleSchemTraceInclusionFail,94
callDummyProc1WithAssumptionsButAssumeNothingFail,105
callPlaceBetOnceAfterRemoveOneUnderspecifiedFail,1794
callPlaceBetOnlyOncePreCondNotMetFail,94
casinoCaseStudySimpleFail,3367
casinoCaseStudySimpleCompletePlaceBetFail,254
removeOneMissingStartEvFail,23
removeOne,109
removeOneWithCond,308
removeOneLT,123
removeTwo,109
removeThree,342
placeBetAbsTrSelf,66
placeBetInnerSimple,66
trivialMultipleObsCallee,113
callPlaceBetOnceAfterRemoveOne,225
callPlaceBetDecidedBet,260
simpleSchemTraceInclusion,97
callDummyProc1AssumeNoDummyProc1Before,95
callDummyProc2And1SafeLocalContextOr,337
callPlaceBetOnlyOnceAssumePreTrace,174
callPlaceBetOnceSetVarsToOne,139
casinoCaseStudySimple,249
casinoCaseStudySimpleCompletePlaceBet,262
noObservationsTrivialPrecondition,60
removeOneOnce,203
removeOneTwice,1425
