removeOneFail,67
removeTwoFail,79
removeThreeFail,3671
removeThreeNoCallsRemoveOneFail,594
removeOneWithCondFail,120
callBetTwiceFail,151
callPlaceBetOnceInsufficientContractFail,379
callDummyProc1And2And3CATFail,204
simpleSchemTraceInclusionFail,79
callDummyProc1WithAssumptionsButAssumeNothingFail,92
callPlaceBetOnlyOncePreCondNotMetFail,90
casinoCaseStudySimpleFail,187
removeOne,63
removeOneWithCond,125
removeOneLT,77
removeTwo,63
removeThree,-1000
placeBetAbsTrSelf,64
placeBetInnerSimple,64
trivialMultipleObsCallee,86
callPlaceBetOnceSufficientContract,-1000
callPlaceBetDecidedBet,-1000
simpleSchemTraceInclusion,77
callDummyProc1AssumeNoDummyProc1Before,83
callDummyProc2And1SafeLocalContextOr,-1000
callPlaceBetOnlyOnceAssumePreTrace,118
callPlaceBetOnceSetVarsToOne,118
casinoCaseStudySimple,-1000
