removeOneFail,80
removeTwoFail,91
removeThreeFail,5972
removeThreeNoCallsRemoveOneFail,10687
removeOneWithCondFail,225
callBetTwiceFail,2113
callPlaceBetOnceInsufficientContractFail,10776
callDummyProc1And2And3CATFail,10891
simpleSchemTraceInclusionFail,330
callDummyProc1WithAssumptionsButAssumeNothingFail,360
callPlaceBetOnlyOncePreCondNotMetFail,334
casinoCaseStudySimpleFail,997
casinoCaseStudySimpleCompletePlaceBetFail,376
removeOne,77
removeOneWithCond,231
removeOneLT,88
removeTwo,77
removeThree,4158
placeBetAbsTrSelf,56
placeBetInnerSimple,56
trivialMultipleObsCallee,273
callPlaceBetOnceSufficientContract,-1000
callPlaceBetDecidedBet,2652
simpleSchemTraceInclusion,257
callDummyProc1AssumeNoDummyProc1Before,267
callDummyProc2And1SafeLocalContextOr,2816
callPlaceBetOnlyOnceAssumePreTrace,262
callPlaceBetOnceSetVarsToOne,296
casinoCaseStudySimple,744
casinoCaseStudySimpleCompletePlaceBet,1025
noObservationsTrivialPrecondition,46
