removeOneFail,107
removeTwoFail,114
removeThreeFail,1749
removeThreeNoCallsRemoveOneFail,10687
removeOneWithCondFail,333
callBetTwiceFail,515
callPlaceBetOnceInsufficientContractFail,2309
callDummyProc1And2And3CATFail,2148
simpleSchemTraceInclusionFail,99
callDummyProc1WithAssumptionsButAssumeNothingFail,109
callPlaceBetOnceAfterRemoveOneUnderspecifiedFail,1742
callPlaceBetOnlyOncePreCondNotMetFail,99
casinoCaseStudySimpleFail,3348
casinoCaseStudySimpleCompletePlaceBetFail,256
removeOne,101
removeOneWithCond,326
removeOneLT,113
removeTwo,80
removeThree,346
placeBetAbsTrSelf,79
placeBetInnerSimple,79
trivialMultipleObsCallee,121
callPlaceBetOnceAfterRemoveOne,226
callPlaceBetDecidedBet,260
simpleSchemTraceInclusion,96
callDummyProc1AssumeNoDummyProc1Before,96
callDummyProc2And1SafeLocalContextOr,345
callPlaceBetOnlyOnceAssumePreTrace,174
callPlaceBetOnceSetVarsToOne,139
casinoCaseStudySimple,252
casinoCaseStudySimpleCompletePlaceBet,265
noObservationsTrivialPrecondition,59
removeOneOnce,249
removeOneTwice,1514
