removeOneFail,67
removeTwoFail,79
removeThreeFail,2579
removeThreeNoCallsRemoveOneFail,925
removeOneWithCondFail,120
callBetTwiceFail,2491
callPlaceBetOnceInsufficientContractFail,740
callDummyProc1And2And3CATFail,10675
simpleSchemTraceInclusionFail,123
callDummyProc1WithAssumptionsButAssumeNothingFail,138
callPlaceBetOnlyOncePreCondNotMetFail,121
casinoCaseStudySimpleFail,2393
removeOne,63
removeOneWithCond,125
removeOneLT,77
removeTwo,63
removeThree,1661
placeBetAbsTrSelf,64
placeBetInnerSimple,64
trivialMultipleObsCallee,72
callPlaceBetOnceSufficientContract,389
callPlaceBetDecidedBet,-1000
simpleSchemTraceInclusion,110
callDummyProc1AssumeNoDummyProc1Before,-1000
callDummyProc2And1SafeLocalContextOr,398
callPlaceBetOnlyOnceAssumePreTrace,-1000
callPlaceBetOnceSetVarsToOne,99
casinoCaseStudySimple,-1000
