removeOneFail,77
removeTwoFail,89
removeThreeFail,4658
removeThreeNoCallsRemoveOneFail,3840
removeOneWithCondFail,202
callBetTwiceFail,7123
callPlaceBetOnceInsufficientContractFail,10825
callDummyProc1And2And3CATFail,10674
simpleSchemTraceInclusionFail,993
callDummyProc1WithAssumptionsButAssumeNothingFail,1134
callPlaceBetOnlyOncePreCondNotMetFail,993
casinoCaseStudySimpleFail,1337
casinoCaseStudySimpleCompletePlaceBetFail,576
removeOne,73
removeOneWithCond,206
removeOneLT,87
removeTwo,73
removeThree,3704
placeBetAbsTrSelf,56
placeBetInnerSimple,56
trivialMultipleObsCallee,368
callPlaceBetOnceSufficientContract,-1000
callPlaceBetDecidedBet,3351
simpleSchemTraceInclusion,357
callDummyProc1AssumeNoDummyProc1Before,367
callDummyProc2And1SafeLocalContextOr,3612
callPlaceBetOnlyOnceAssumePreTrace,379
callPlaceBetOnceSetVarsToOne,393
casinoCaseStudySimple,1164
casinoCaseStudySimpleCompletePlaceBet,2065
noObservationsTrivialPrecondition,47
