removeOneFail,80
removeTwoFail,91
removeThreeFail,4136
removeThreeNoCallsRemoveOneFail,10683
removeOneWithCondFail,225
callBetTwiceFail,2080
callPlaceBetOnceInsufficientContractFail,10099
callDummyProc1And2And3CATFail,10764
simpleSchemTraceInclusionFail,329
callDummyProc1WithAssumptionsButAssumeNothingFail,360
callPlaceBetOnlyOncePreCondNotMetFail,334
casinoCaseStudySimpleFail,913
casinoCaseStudySimpleCompletePlaceBetFail,368
removeOne,77
removeOneWithCond,231
removeOneLT,88
removeTwo,77
removeThree,3123
placeBetAbsTrSelf,56
placeBetInnerSimple,56
trivialMultipleObsCallee,274
callPlaceBetOnceSufficientContract,2016
callPlaceBetDecidedBet,2092
simpleSchemTraceInclusion,257
callDummyProc1AssumeNoDummyProc1Before,266
callDummyProc2And1SafeLocalContextOr,2255
callPlaceBetOnlyOnceAssumePreTrace,266
callPlaceBetOnceSetVarsToOne,289
casinoCaseStudySimple,718
casinoCaseStudySimpleCompletePlaceBet,998
noObservationsTrivialPrecondition,46
