removeOneFail,67
removeTwoFail,79
removeThreeFail,2489
removeThreeNoCallsRemoveOneFail,923
removeOneWithCondFail,120
callBetTwiceFail,160
callPlaceBetOnceInsufficientContractFail,414
callDummyProc1And2And3CATFail,875
simpleSchemTraceInclusionFail,89
callDummyProc1WithAssumptionsButAssumeNothingFail,107
callPlaceBetOnlyOncePreCondNotMetFail,91
casinoCaseStudySimpleFail,1663
removeOne,63
removeOneWithCond,125
removeOneLT,77
removeTwo,63
removeThree,1634
placeBetAbsTrSelf,64
placeBetInnerSimple,64
trivialMultipleObsCallee,73
callPlaceBetOnceSufficientContract,166
callPlaceBetDecidedBet,139
simpleSchemTraceInclusion,74
callDummyProc1AssumeNoDummyProc1Before,83
callDummyProc2And1SafeLocalContextOr,142
callPlaceBetOnlyOnceAssumePreTrace,111
callPlaceBetOnceSetVarsToOne,100
casinoCaseStudySimple,225
