removeOneFail,77
removeTwoFail,89
removeThreeFail,1169
removeThreeNoCallsRemoveOneFail,2309
removeOneWithCondFail,202
callBetTwiceFail,1356
callPlaceBetOnceInsufficientContractFail,1447
callDummyProc1And2And3CATFail,10617
simpleSchemTraceInclusionFail,246
callDummyProc1WithAssumptionsButAssumeNothingFail,260
callPlaceBetOnlyOncePreCondNotMetFail,251
casinoCaseStudySimpleFail,1298
casinoCaseStudySimpleCompletePlaceBetFail,363
removeOne,73
removeOneWithCond,206
removeOneLT,87
removeTwo,73
removeThree,988
placeBetAbsTrSelf,57
placeBetInnerSimple,57
trivialMultipleObsCallee,104
callPlaceBetOnceSufficientContract,545
callPlaceBetDecidedBet,-1000
simpleSchemTraceInclusion,94
callDummyProc1AssumeNoDummyProc1Before,97
callDummyProc2And1SafeLocalContextOr,-1000
callPlaceBetOnlyOnceAssumePreTrace,125
callPlaceBetOnceSetVarsToOne,-1000
casinoCaseStudySimple,1073
casinoCaseStudySimpleCompletePlaceBet,-1000
noObservationsTrivialPrecondition,49
