removeOneFail,83
removeTwoFail,96
removeThreeFail,4012
removeThreeNoCallsRemoveOneFail,3428
removeOneWithCondFail,209
callBetTwiceFail,4286
callPlaceBetOnceInsufficientContractFail,10651
callDummyProc1And2And3CATFail,10754
simpleSchemTraceInclusionFail,690
callDummyProc1WithAssumptionsButAssumeNothingFail,735
callPlaceBetOnlyOncePreCondNotMetFail,694
casinoCaseStudySimpleFail,1943
casinoCaseStudySimpleCompletePlaceBetFail,754
removeOne,79
removeOneWithCond,210
removeOneLT,94
removeTwo,80
removeThree,3334
placeBetAbsTrSelf,64
placeBetInnerSimple,64
trivialMultipleObsCallee,359
callPlaceBetOnceSufficientContract,2561
callPlaceBetDecidedBet,2468
simpleSchemTraceInclusion,323
callDummyProc1AssumeNoDummyProc1Before,349
callDummyProc2And1SafeLocalContextOr,2704
callPlaceBetOnlyOnceAssumePreTrace,319
callPlaceBetOnceSetVarsToOne,605
casinoCaseStudySimple,1555
casinoCaseStudySimpleCompletePlaceBet,2425
noObservationsTrivialPrecondition,55
