removeOneFail,76
removeTwoFail,85
removeThreeFail,843
removeThreeNoCallsRemoveOneFail,10792
removeOneWithCondFail,179
callBetTwiceFail,497
callPlaceBetOnceInsufficientContractFail,1925
callDummyProc1And2And3CATFail,1805
simpleSchemTraceInclusionFail,88
callDummyProc1WithAssumptionsButAssumeNothingFail,97
callPlaceBetOnceAfterRemoveOneUnderspecifiedFail,1499
callPlaceBetOnlyOncePreCondNotMetFail,92
casinoCaseStudySimpleFail,3514
casinoCaseStudySimpleCompletePlaceBetFail,223
removeOneMissingStartEvFail,23
removeOne,72
removeOneWithCond,185
removeOneLT,84
removeTwo,72
removeThree,318
placeBetAbsTrSelf,58
placeBetInnerSimple,58
trivialMultipleObsCallee,100
callPlaceBetOnceAfterRemoveOne,206
callPlaceBetDecidedBet,211
simpleSchemTraceInclusion,87
callDummyProc1AssumeNoDummyProc1Before,89
callDummyProc2And1SafeLocalContextOr,289
callPlaceBetOnlyOnceAssumePreTrace,142
callPlaceBetOnceSetVarsToOne,120
casinoCaseStudySimple,233
casinoCaseStudySimpleCompletePlaceBet,249
noObservationsTrivialPrecondition,49
removeOneOnce,176
removeOneTwice,1064
