removeOneFail,85
removeTwoFail,97
removeThreeFail,1535
removeThreeNoCallsRemoveOneFail,3641
removeOneWithCondFail,210
callBetTwiceFail,1714
callPlaceBetOnceInsufficientContractFail,2815
callDummyProc1And2And3CATFail,10451
simpleSchemTraceInclusionFail,358
callDummyProc1WithAssumptionsButAssumeNothingFail,361
callPlaceBetOnlyOncePreCondNotMetFail,344
casinoCaseStudySimpleFail,1705
removeOne,81
removeOneWithCond,212
removeOneLT,95
removeTwo,81
removeThree,1281
placeBetAbsTrSelf,65
placeBetInnerSimple,65
trivialMultipleObsCallee,121
callPlaceBetOnceSufficientContract,1368
callPlaceBetDecidedBet,1149
simpleSchemTraceInclusion,112
callDummyProc1AssumeNoDummyProc1Before,113
callDummyProc2And1SafeLocalContextOr,1400
callPlaceBetOnlyOnceAssumePreTrace,132
callPlaceBetOnceSetVarsToOne,329
casinoCaseStudySimple,-1000
