removeOneFail,80
removeTwoFail,91
removeThreeFail,4136
removeThreeNoCallsRemoveOneFail,2650
removeOneWithCondFail,31
callBetTwiceFail,2074
callPlaceBetOnceInsufficientContractFail,10127
callDummyProc1And2And3CATFail,10765
simpleSchemTraceInclusionFail,329
callDummyProc1WithAssumptionsButAssumeNothingFail,361
callPlaceBetOnlyOncePreCondNotMetFail,334
casinoCaseStudySimpleFail,915
casinoCaseStudySimpleCompletePlaceBetFail,368
removeOne,77
removeOneWithCond,-1000
removeOneLT,88
removeTwo,77
removeThree,3124
placeBetAbsTrSelf,56
placeBetInnerSimple,56
trivialMultipleObsCallee,273
callPlaceBetOnceSufficientContract,2016
callPlaceBetDecidedBet,2111
simpleSchemTraceInclusion,257
callDummyProc1AssumeNoDummyProc1Before,266
callDummyProc2And1SafeLocalContextOr,2272
callPlaceBetOnlyOnceAssumePreTrace,266
callPlaceBetOnceSetVarsToOne,289
casinoCaseStudySimple,718
casinoCaseStudySimpleCompletePlaceBet,998
noObservationsTrivialPrecondition,46
