removeOneFail,107
removeTwoFail,114
removeThreeFail,2413
removeThreeNoCallsRemoveOneFail,10888
removeOneWithCondFail,333
callBetTwiceFail,506
callPlaceBetOnceInsufficientContractFail,2286
callDummyProc1And2And3CATFail,2387
simpleSchemTraceInclusionFail,99
callDummyProc1WithAssumptionsButAssumeNothingFail,108
callPlaceBetOnceAfterRemoveOneUnderspecifiedFail,1752
callPlaceBetOnlyOncePreCondNotMetFail,99
casinoCaseStudySimpleFail,3356
casinoCaseStudySimpleCompletePlaceBetFail,257
removeOne,101
removeOneWithCond,326
removeOneLT,113
removeTwo,80
removeThree,418
placeBetAbsTrSelf,79
placeBetInnerSimple,79
trivialMultipleObsCallee,121
callPlaceBetOnceAfterRemoveOne,226
callPlaceBetDecidedBet,260
simpleSchemTraceInclusion,96
callDummyProc1AssumeNoDummyProc1Before,96
callDummyProc2And1SafeLocalContextOr,348
callPlaceBetOnlyOnceAssumePreTrace,178
callPlaceBetOnceSetVarsToOne,137
casinoCaseStudySimple,252
casinoCaseStudySimpleCompletePlaceBet,1443
noObservationsTrivialPrecondition,59
