removeOneFail,85
removeTwoFail,97
removeThreeFail,1229
removeThreeNoCallsRemoveOneFail,2485
removeOneWithCondFail,210
callBetTwiceFail,1595
callPlaceBetOnceInsufficientContractFail,1680
callDummyProc1And2And3CATFail,8758
simpleSchemTraceInclusionFail,278
callDummyProc1WithAssumptionsButAssumeNothingFail,286
callPlaceBetOnlyOncePreCondNotMetFail,270
casinoCaseStudySimpleFail,1516
removeOne,81
removeOneWithCond,212
removeOneLT,95
removeTwo,81
removeThree,1084
placeBetAbsTrSelf,64
placeBetInnerSimple,64
trivialMultipleObsCallee,125
callPlaceBetOnceSufficientContract,827
callPlaceBetDecidedBet,794
simpleSchemTraceInclusion,118
callDummyProc1AssumeNoDummyProc1Before,119
callDummyProc2And1SafeLocalContextOr,795
callPlaceBetOnlyOnceAssumePreTrace,138
callPlaceBetOnceSetVarsToOne,330
casinoCaseStudySimple,-1000
