removeOneFail,75
removeTwoFail,86
removeThreeFail,1840
removeThreeNoCallsRemoveOneFail,10349
removeOneWithCondFail,160
callBetTwiceFail,1826
callPlaceBetOnceInsufficientContractFail,10756
callDummyProc1And2And3CATFail,4588
simpleSchemTraceInclusionFail,316
callDummyProc1WithAssumptionsButAssumeNothingFail,355
callPlaceBetOnceAfterRemoveOneUnderspecifiedFail,8377
callPlaceBetOnlyOncePreCondNotMetFail,307
casinoCaseStudySimpleFail,986
casinoCaseStudySimpleCompletePlaceBetFail,377
removeOne,72
removeOneWithCond,166
removeOneLT,83
removeTwo,72
removeThree,1439
placeBetAbsTrSelf,54
placeBetInnerSimple,54
trivialMultipleObsCallee,261
callPlaceBetOnceAfterRemoveOne,809
callPlaceBetDecidedBet,1021
simpleSchemTraceInclusion,243
callDummyProc1AssumeNoDummyProc1Before,247
callDummyProc2And1SafeLocalContextOr,1287
callPlaceBetOnlyOnceAssumePreTrace,252
callPlaceBetOnceSetVarsToOne,293
casinoCaseStudySimple,731
casinoCaseStudySimpleCompletePlaceBet,1006
noObservationsTrivialPrecondition,46
