removeOneFail,77
removeTwoFail,89
removeThreeFail,1686
removeThreeNoCallsRemoveOneFail,2095
removeOneWithCondFail,202
callBetTwiceFail,1478
callPlaceBetOnceInsufficientContractFail,1214
callDummyProc1And2And3CATFail,10614
simpleSchemTraceInclusionFail,277
callDummyProc1WithAssumptionsButAssumeNothingFail,281
callPlaceBetOnlyOncePreCondNotMetFail,284
casinoCaseStudySimpleFail,1361
casinoCaseStudySimpleCompletePlaceBetFail,462
removeOne,73
removeOneWithCond,206
removeOneLT,87
removeTwo,73
removeThree,1005
placeBetAbsTrSelf,67
placeBetInnerSimple,67
trivialMultipleObsCallee,103
callPlaceBetOnceSufficientContract,549
callPlaceBetDecidedBet,488
simpleSchemTraceInclusion,94
callDummyProc1AssumeNoDummyProc1Before,97
callDummyProc2And1SafeLocalContextOr,557
callPlaceBetOnlyOnceAssumePreTrace,132
callPlaceBetOnceSetVarsToOne,334
casinoCaseStudySimple,1120
casinoCaseStudySimpleCompletePlaceBet,1286
