removeOneFail,80
removeTwoFail,91
removeThreeFail,3820
removeThreeNoCallsRemoveOneFail,2635
removeOneWithCondFail,217
callBetTwiceFail,2074
callPlaceBetOnceInsufficientContractFail,10097
callDummyProc1And2And3CATFail,10765
simpleSchemTraceInclusionFail,329
callDummyProc1WithAssumptionsButAssumeNothingFail,361
callPlaceBetOnlyOncePreCondNotMetFail,334
casinoCaseStudySimpleFail,915
casinoCaseStudySimpleCompletePlaceBetFail,368
removeOne,77
removeOneWithCond,220
removeOneLT,88
removeTwo,77
removeThree,2903
placeBetAbsTrSelf,56
placeBetInnerSimple,56
trivialMultipleObsCallee,273
callPlaceBetOnceSufficientContract,1986
callPlaceBetDecidedBet,2079
simpleSchemTraceInclusion,257
callDummyProc1AssumeNoDummyProc1Before,266
callDummyProc2And1SafeLocalContextOr,2240
callPlaceBetOnlyOnceAssumePreTrace,266
callPlaceBetOnceSetVarsToOne,289
casinoCaseStudySimple,718
casinoCaseStudySimpleCompletePlaceBet,998
noObservationsTrivialPrecondition,46
